"ID","장비명","시/도","시/군/구","읍/면/동","번지","상세주소","설치장소","RSRP AVG","SINR AVG","TX_PWR AVG","측정수 ","RF_Pot수","평균측정수"
"SIPS06185T","우리들병원본관동_L","부산광역시","동래구","낙민동","205-10","동래고등학교 길건너편 우측 우리들병원","B1층여자탈의실벽면","-80.11666666666666","5.966666666666666","-2.6666666666666665","130.0","13.0","43.0"
"SIPS45116T","V모텔2_LTE","부산광역시","동래구","온천동","456-13","명륜교차로오거리에서11시신화타워방향으로들어가서100m지점사거리에서우회전하면50m지점","7층 706호 옆 비상구 벽면","-80.912","9.192","-6.6739999999999995","1780.0","29.0","356.0"
"SIPS45358T","유스파","부산광역시","동래구","온천동","1248-2","미남교차로에서 사직운동장쪽 방향 첫번째 건널목우측 농협건물3층","F3_카운터우측에어컨룸벽면","-77.5775","11.052500000000002","-8.22875","6090.0","105.0","761.0"
"PIPS30400K","황실뷔폐","부산광역시","동래구","온천동","1397-4","만덕터널지나미남R에서좌회전후100M지점좌측농협건물지하1층","지하1층주방벽면","-75.077","15.824000000000002","-8.17","4430.0","76.0","443.0"
"PIPS00026K","낙원꽃집","부산광역시","동래구","사직동","116-42","사직운동장에서 부산교육대방향 우회전직진 낙원 웨딩뷔페보임 반대편으로 보면 영어로 하모횟집 파란간판보임 그건물 지하 낙원 꽃집","지하1층 환기구밑벽면","-81.686","7.647999999999999","-0.7239999999999999","1830.0","50.0","366.0"
"PIPS90169K","한영사","부산광역시","동래구","명장동","135-59","명장1동새마을금고지하 한영사","지하1층주방벽면","-82.92857142857143","7.63","-1.5","250.0","18.0","35.0"
"SIPS05518T","무소포장센터_L","부산광역시","동래구","안락동","425-59","안락교차로에서명장방향우측세번째블록뒷편","지하1층비상구뒤벽면","-89.00333333333333","7.47","2.7908333333333335","2450.0","72.0","204.0"
"PIPS90145K","선의빌딩","부산광역시","동래구","사직동","77-14","사직운동장옆 국민은행 지하주차장","지하1층 주차관리실 내벽","-75.85100000000001","11.442","-1.158","1480.0","66.0","148.0"
"PIPS25175K","낙민동래한양아파트보일러실","부산광역시","동래구","낙민동","172-0","성원빌딩에서명진빌딩옆건물","B1층보일러실벽면","-90.5","18.5","15.0","20.0","1.0","20.0"
"PIPS60713K","쁘띠쁘아유치원2","부산광역시","동래구","온천동","1657-7","달북초등학교에서 보탑사방면으로 우회전후 보탑사방면 좌회전후 우측편 쁘띠브아 유치원","어린이집3층계단비트실안","0.0","0.0","0.0","0.0","0.0","0.0"
"PIPS90121K","토픽건축사사무소","부산광역시","동래구","복천동","295-4","동래구청지나 만세거리방면으로 200M 지점 미리벌 직업학교 앞","지하1층 사무실벽면","-78.98166666666667","14.183333333333335","-4.25","290.0","23.0","48.0"
"SIPS05409T","삼정그린코아아파트106동주차장_L","부산광역시","동래구","사직동","981-100","사직운동장에서 만덕터널방향 가다보면 쌍용아파트 뒤쪽 맞은편","지하1층휀룸실안벽면","-88.311","17.284000000000002","0.425","420.0","22.0","42.0"
"PIPS52390K","하나커피숍","부산광역시","동래구","온천동","1439-7","내성교차로조흥은행정문에서좌측으로20M부근","지하1층주방안벽면","-76.73586206896553","10.983448275862072","-8.27551724137931","21480.0","286.0","740.0"
"PIPS20234K","큰믿음교회","부산광역시","동래구","온천동","1495-5","내성로타리에서거제리방향직진내성중학교옆우회전후200M전방대우아파트옆동영아파트상가","지하1층창고안벽면","0.0","0.0","0.0","0.0","0.0","0.0"
"PIPS00112T","CQ동래봉생병원신관_L","부산광역시","동래구","안락동","766-0","연산교차로에서안락교차로방향으로약8Km직진후안락교차로에서우회전직후오른쪽건물","B2층기계실벽면","-93.5","8.54","-5.25","60.0","3.0","30.0"
"SIPS05097T","온천삼정그린코아101동_L","부산광역시","동래구","온천동","1654-0","동래만덕1터널지나서사직동방향으로직진하여온천여중끼고우회전약300M직진하면좌측에위치","지하3층주차장계단실옆벽면","-89.16","8.84","-3.4","110.0","7.0","22.0"
"SIPS05073T","메가마트동래점(소스)_L","부산광역시","동래구","명륜동","506-3","지하철동래역에서동래교차로방향으로대동병원지나면좌측","1층EPS실벽면","0.0","0.0","0.0","0.0","0.0","0.0"
"SIPS06295T","삼협아파트주차장_L","부산광역시","동래구","온천동","1133-2","미남교차로에서만덕터널방향으로가다가미남교다리나오면거기서우회전해서좌측편아파트가삼협아파트","지하1층주차장입구벽면","-86.91999999999999","7.767333333333335","-0.045999999999999965","8550.0","134.0","570.0"
"PIPS45422K","하늘가족교회","부산광역시","동래구","명륜동","549-1","동래지하철역공영주차장맞은편건물(체와빌딩B1)","지하1층화장실벽면","-78.06000000000002","7.967142857142858","-3.617142857142857","1430.0","55.0","204.0"
"SIPS06077T","명륜센트럴파크2차전기실_L","부산광역시","동래구","명륜동","756-1","동래문화회관에서온천장방향내리막길로가다약300M지점우측","B3주차장9번？룸(71F)실안벽면","-86.62","13.534","8.466","130.0","6.0","26.0"
"SIPS45311T","사직삼정그린코아1단지1_L","부산광역시","동래구","사직동","95-1","사직동 종합운동장역에서 사직역 방향 아시아드대로 현대자동차 사거리 지나 좌측사직로 방향 삼거리 코너 공사현장","B2_통신가설사무실외벽면","-74.89","8.0","-6.333333333333333","50.0","3.0","16.0"
"PIPS90277K","반도포장센타","부산광역시","동래구","온천동","189-3","금강공원입구교차로에서 SC제일은행지나 70M직진후 우측 반도포장센타","지하1층 에어컨 앞","-76.075","7.824999999999999","-2.5725","210.0","17.0","26.0"
"PIPS90011K","부산섹스폰","부산광역시","동래구","사직동","100-2","사직운동장 맞으면 부산섹스폰학원","지하1층원장실벽면","-72.51","7.72","-3.243846153846154","2780.0","64.0","213.0"
"PIPS60956K","해오름탁구장","부산광역시","동래구","명륜동","681-16","명륜역에서 하차, 동래구보건소방향으로 이동 KTC부산동래평생교육원 건물 1층","지하탁구장벽면","-86.48230769230769","2.988461538461538","4.8500000000000005","6950.0","83.0","534.0"
"PIPS07039K","동진찜질방","부산광역시","동래구","수안동","341-0","청자시장에서동래맨션아파트뒤건물","4층남탕안벽면","-79.27333333333333","15.236666666666666","1.3166666666666667","730.0","14.0","121.0"
"PIPS44224K","만포장횟집","부산광역시","동래구","수안동","447-1","동래시장입구방향일방길에서첫번째골목우측안5M부근","1층여자화장실앞창고벽면(대림횟집)","-85.18571428571428","8.86857142857143","4.167142857142857","270.0","19.0","38.0"
"PIPS40004K","영명산업사","부산광역시","동래구","안락동","444-19","이화탕에서진흥산맨션앞건물","지하1층공장벽면","-77.25909090909092","15.853636363636362","-5.850909090909091","830.0","46.0","75.0"
"PIPS70570K","밀양할매돼지국밥","부산광역시","동래구","온천동","474-14","동래롯데백화점우측길로세블럭지나세븐일레븐안길","1층주방옆홀벽면","-77.705","6.038333333333334","-0.0216666666666665","1870.0","51.0","311.0"
"SIPS45118T","발리휘트니스하층부_LTE","부산광역시","동래구","온천동","165-2","온천장사거리스파쇼핑건물발리휘트니스1층 남자사우나입구옆휴게실","1층 남자 사우나 입구 옆 휴게실 벽면","-84.63499999999999","3.265","0.8016666666666664","1280.0","43.0","213.0"
"PIPS00113T","CQ동래구청본관지하_L","부산광역시","동래구","복천동","381-0","명륜동지하철역에LG25시옆건물","1층 남자화장실 좌측으로 내려가 기계실앞 우측벽면","-67.54571428571428","16.295714285714286","-8.697142857142858","580.0","35.0","82.0"
"SIPS06074T","온천장SKHUB올리브_L","부산광역시","동래구","온천동","161-1","온천장사거리에서장전동방향으로약50m우회회전에위치","지하2층EPS실벽면","-82.74399999999999","4.798","-1.226","7330.0","138.0","488.0"
"SIPS06714T","석천아파트지하주차장_L","부산광역시","동래구","안락동","733-1","부산은행낙민동지점에서안락R방향우측","지하1층주차장벽면","-79.62666666666667","9.557777777777778","-3.703333333333333","600.0","31.0","66.0"
"PIPS45401K","강산치과","부산광역시","동래구","수안동","268-27","부산지하철4호선수안역에서낙민역방향으로300M직진후우측건물","지하1층기계실좌측벽면","-71.0","15.0","-5.5","30.0","3.0","15.0"
"SIPS06847T","국제어학당_L","부산광역시","동래구","안락동","152-11","토곡사거리에서 안락동방향으로 좌회전하면 다리건너 좌측건물","B1비상구입구벽면","-73.68214285714285","10.432142857142859","-7.271428571428571","8390.0","127.0","599.0"
"SIPS06098T","사직한신아파트3주차장_L","부산광역시","동래구","사직동","597-0","사직중앙교회에서해운대맨션옆건물","지하1층휀룸벽면","-85.60769230769232","12.733076923076924","-0.14769230769230768","370.0","18.0","28.0"
"SIPS00642K","안락1차SK아파트1동-3","부산광역시","동래구","안락동","472-57","안락동맥도날드맞은편안락SKAPT 116동B3","지하3층중앙계단실옆벽면","-81.78166666666667","6.8741666666666665","4.2475","890.0","26.0","74.0"
"SIPS45336T","동래우성빌딩지하","부산광역시","동래구","명륜동","549-7","동래사거리에서 온천장방면으로 100M지점에서 지하철역주차장을끼고 우회전 다시 우회전 100M지점좌측에위치함","B1_영업장내냉장고위벽면","-76.181","9.311000000000002","-5.643000000000001","1830.0","70.0","183.0"
"SIPS45312T","사직삼정그린코아1단지2","부산광역시","동래구","사직동","95-1","사직동 종합운동장역에서 사직역 방향 아시아드대로 현대자동차 사거리 지나 좌측사직로 방향 삼거리 코너 공사현장","B2_전기가설사무실벽면","-74.89","8.0","-6.333333333333333","50.0","3.0","16.0"
"SIPS00557K","대륙코리아나아파트","부산광역시","동래구","사직동","113-1","대선소주방향에서낙원예시장옆건물","관리실 옆 외벽","-71.5","28.5","0.0","30.0","2.0","30.0"
"SIPS40592T","LA게임랜드_L","부산광역시","동래구","안락동","423-6","원동IC에서충렬사방향으로직진후안락교차로직전우측일신정형외과건물지하1층","지하1층흡연실좌측벽면","-79.67636363636365","9.21318181818182","-3.227727272727272","9910.0","214.0","450.0"
"SIPS05407T","삼정그린코아 전기실_L","부산광역시","동래구","사직동","981-100","주향탕에서사직동교회교유관앞건물","B1층기계실벽면","-88.311","17.284000000000002","0.425","420.0","22.0","42.0"
"PIPS90010K","일광산업사","부산광역시","동래구","명장동","135-39","안락로타리에서 서동방면 대호아파트지나우회전하여 500m지점 일광산업사","지하1층사무실좌측벽면","-81.72666666666667","9.66","1.0566666666666666","340.0","9.0","113.0"
"PIPS20236K","가람빌딩지하주차장","부산광역시","동래구","사직동","47-27","미남로타리에서사직동방향사직파출소앞에서옛주공아파트방향우회전사직주공사거리10M못가서우측편신축건물","지하1층소방펌프실안벽면","-77.01416666666667","13.155","-0.9366666666666669","4620.0","107.0","385.0"
"SIPS40819T","동래미남요양병원","부산광역시","동래구","온천동","1428-34","동래교차로에서미남교차로방면2KM지점광혜병원맞은편건물","지하1층영양사실입구우측벽면","-81.76375","5.67","-2.6575","17470.0","104.0","2183.0"
"SIPS05516T","부산침례교회_L","부산광역시","동래구","안락동","764-2","연산로타리에서명장동가는방향으로3KM가다안락로타리앞에서우회전봉생병원건물바로앞위치","B1층지혜홀내부","-83.74125","9.10625","0.29125","300.0","25.0","37.0"
"PIPS60517K","은하수포장타운","부산광역시","동래구","안락동","425-25","안락R에서명장동방향첫번째신호등앞위치","지하1층안쪽복도벽면","-92.03545454545454","6.167272727272728","4.377272727272727","2060.0","57.0","187.0"
"SIPS40904T","O2모텔","부산광역시","동래구","온천동","189-116","유락삼거리에서온천1동주민센터방향으로300M직진후우회전100M직진후좌히ㅗ전50M앞좌회전80M전방우측건물","6층물펌프실안좌측벽면","-82.41666666666667","2.4433333333333334","7.0","100.0","4.0","33.0"
"PIPS61271K","KT동래지사미남지점","부산광역시","동래구","온천동","1581-0","온천중학교에서온천3파출소방향으로전방500M부근에위치","2층고객회선관리실안 에어컨위 벽면","-73.97999999999999","15.065000000000001","-0.86","170.0","8.0","85.0"
"SIPS45119T","화신동영APT상가_LTE","부산광역시","동래구","온천동","1682-0","달북초등학교에서 보탑사 방면으로 올라가다가 온천중학교 지나서 우측편 화신동영 아파트 상가지하 골프연습장","B2 클럽 갤러리 안 비상구 앞 벽면","-72.0","17.0","-2.3333333333333335","30.0","3.0","10.0"
"SIPS40024K","온천반도보라스카이뷰오피스텔","부산광역시","동래구","온천동","1412-1","만덕터널지나미남로타리에서우회전100M앞좌회전신호받고우측위치","1층방재실에서 키수령 후 지하2층EPS실안벽면()","-82.814","7.545999999999999","0.85","130.0","9.0","26.0"
"SIPS72201K","대한생명빌딩지하","부산광역시","동래구","명륜동","510-6","동래메가마트맞은편KTF동래지점","1층화장실입구ED실","-80.73400000000001","13.244","3.3659999999999997","320.0","16.0","64.0"
"PIPS40026T","나눔터음악동호회","부산광역시","동래구","수안동","452-2","연산교차로에서충렬대로1.1KM직진후충렬대로237번길우회전후116M이동후목적지(452-2번지)","지하1층사무실옆에어실벽면","-85.48333333333333","8.234444444444444","4.102222222222222","480.0","31.0","53.0"
"SIPS06800T","명륜동센트럴파크하이츠_L","부산광역시","동래구","명륜동","756-1","동래에서명륜동방향으로가다롯데백화점에서우회전후명륜초교에서좌회전하면300m지점우측","지하2층 주차장32E옆 206기둥뒤","-86.62","13.534","8.466","130.0","6.0","26.0"
